"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"MADHYA PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",130,142,141,134,130,121,109,124,156,110,117,127
"MAHARASHTRA","PREPARATION AND ASSEMBLY FOR DACOITY",328,271,249,315,307,323,405,274,287,285,291,322
"MANIPUR","PREPARATION AND ASSEMBLY FOR DACOITY",17,8,0,2,0,27,146,212,188,196,154,171
"MEGHALAYA","PREPARATION AND ASSEMBLY FOR DACOITY",3,2,1,2,1,4,1,0,1,1,0,1
"MIZORAM","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","PREPARATION AND ASSEMBLY FOR DACOITY",22,30,30,0,50,76,42,67,63,117,84,99
"PUNJAB","PREPARATION AND ASSEMBLY FOR DACOITY",84,83,117,79,103,90,92,122,96,143,143,184
"RAJASTHAN","PREPARATION AND ASSEMBLY FOR DACOITY",40,33,41,46,79,97,81,77,57,84,72,74
"SIKKIM","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","PREPARATION AND ASSEMBLY FOR DACOITY",6,25,43,54,0,4,33,66,34,12,11,19
"TRIPURA","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,2,0,1,2,3,0,2,0,0
"UTTAR PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",38,59,196,98,89,86,82,76,59,48,39,68
"UTTARAKHAND","PREPARATION AND ASSEMBLY FOR DACOITY",3,6,3,1,0,2,6,2,7,2,1,3
"WEST BENGAL","PREPARATION AND ASSEMBLY FOR DACOITY",421,646,883,943,1221,1263,1150,1055,724,687,939,875
"TOTAL (STATES)","PREPARATION AND ASSEMBLY FOR DACOITY",1540,1773,2194,2203,2675,2926,2973,3076,2773,2568,2858,3062
"A & N ISLANDS","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","PREPARATION AND ASSEMBLY FOR DACOITY",0,1,1,2,2,3,0,4,3,6,2,9
"D & N HAVELI","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,1,0,0,0,0,0
"DELHI","PREPARATION AND ASSEMBLY FOR DACOITY",74,67,107,135,157,200,229,134,69,31,25,13
"LAKSHADWEEP","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,2,3,5,10,10,15
"TOTAL (UTs)","PREPARATION AND ASSEMBLY FOR DACOITY",74,68,108,137,159,203,232,141,77,47,37,37
"TOTAL (ALL-INDIA)","PREPARATION AND ASSEMBLY FOR DACOITY",1614,1841,2302,2340,2834,3129,3205,3217,2850,2615,2895,3099
"ANDHRA PRADESH","ROBBERY",629,648,660,596,794,679,614,623,544,550,600,668
"ARUNACHAL PRADESH","ROBBERY",84,96,60,45,77,74,75,79,55,69,64,65
"ASSAM","ROBBERY",687,607,523,505,451,544,496,568,680,662,837,907
"BIHAR","ROBBERY",2203,2288,2463,2986,2374,2169,1787,1592,1619,1538,1381,1266
"CHHATTISGARH","ROBBERY",338,326,331,363,401,439,427,500,554,552,470,412
"GOA","ROBBERY",25,24,21,18,28,17,22,23,30,39,26,25
"GUJARAT","ROBBERY",991,1098,1267,1136,966,970,1095,1322,1420,1384,1368,1366
"HARYANA","ROBBERY",397,330,281,244,390,410,502,555,679,734,638,711
"HIMACHAL PRADESH","ROBBERY",28,18,19,25,22,29,23,20,21,11,10,10
"JAMMU & KASHMIR","ROBBERY",161,163,154,129,116,112,111,67,69,61,88,81
"JHARKHAND","ROBBERY",647,780,864,780,732,779,771,761,780,709,614,494
"KARNATAKA","ROBBERY",847,972,861,1024,1202,1349,1313,1615,1825,1949,2123,2207
"KERALA","ROBBERY",517,610,634,639,621,691,869,816,830,636,741,725
"MADHYA PRADESH","ROBBERY",1764,1829,1578,1526,1557,1770,1975,2234,2270,1919,1952,1940
"MAHARASHTRA","ROBBERY",2239,2136,2096,2229,2411,2574,2770,3031,3314,3721,4249,6949
"MANIPUR","ROBBERY",19,6,6,3,8,8,11,7,3,2,7,3
"MEGHALAYA","ROBBERY",125,109,133,81,95,65,56,65,67,67,63,46
"MIZORAM","ROBBERY",23,7,21,6,6,10,5,6,4,16,6,4
"NAGALAND","ROBBERY",129,110,92,117,80,84,75,87,92,63,59,54
"ODISHA","ROBBERY",958,945,875,952,998,1184,1273,1345,1488,1491,1583,1613
"PUNJAB","ROBBERY",131,110,108,86,85,142,138,167,171,241,236,213
"RAJASTHAN","ROBBERY",889,734,655,673,590,631,778,829,886,872,727,807
"SIKKIM","ROBBERY",3,5,3,5,4,9,6,7,4,7,5,6
"TAMIL NADU","ROBBERY",672,653,514,464,437,450,495,662,1144,1817,2066,1898
"TRIPURA","ROBBERY",63,56,69,46,61,71,64,95,77,65,50,60
"UTTAR PRADESH","ROBBERY",3825,2840,1988,2606,2049,2024,2169,2097,2285,2577,3148,3159
"UTTARAKHAND","ROBBERY",191,177,160,165,159,157,173,144,179,162,179,144
"WEST BENGAL","ROBBERY",660,544,598,535,426,426,427,613,751,798,760,816
"TOTAL (STATES)","ROBBERY",19245,18221,17034,17984,17140,17867,18520,19930,21841,22712,24050,26649
"A & N ISLANDS","ROBBERY",4,7,7,3,4,5,9,14,11,7,1,2
"CHANDIGARH","ROBBERY",22,26,12,6,12,34,37,23,27,67,68,63
"D & N HAVELI","ROBBERY",2,1,6,2,2,5,3,0,2,3,2,2
"DAMAN & DIU","ROBBERY",0,1,1,1,0,1,2,4,4,0,6,3
"DELHI","ROBBERY",624,502,441,461,510,541,557,541,515,599,562,608
"LAKSHADWEEP","ROBBERY",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","ROBBERY",4,6,11,1,5,3,8,10,9,5,11,16
"TOTAL (UTs)","ROBBERY",656,543,478,474,533,589,616,592,568,681,650,694
"TOTAL (ALL-INDIA)","ROBBERY",19901,18764,17512,18458,17673,18456,19136,20522,22409,23393,24700,27343
"ANDHRA PRADESH","BURGLARY",7220,7628,9050,8457,7954,8304,7677,8332,7772,8200,8300,8442
"ARUNACHAL PRADESH","BURGLARY",248,249,253,215,263,257,240,245,201,211,183,215
"ASSAM","BURGLARY",2423,2504,2606,2544,2255,2911,2603,3147,3149,3458,3327,3825
"BIHAR","BURGLARY",3233,3188,2986,3175,3117,3531,3259,3414,3566,3437,3629,3758
"CHHATTISGARH","BURGLARY",4144,3731,3621,3720,3621,3507,3632,4112,3975,3711,3548,3334
"GOA","BURGLARY",359,376,257,261,265,252,292,302,294,368,318,356
"GUJARAT","BURGLARY",5142,5327,5844,5828,5332,5530,4870,5053,4488,4071,4509,4695
"HARYANA","BURGLARY",3109,3048,2981,2786,3437,4001,4231,4249,4077,4445,5011,5129
"HIMACHAL PRADESH","BURGLARY",844,710,707,766,696,754,877,885,784,743,995,928
"JAMMU & KASHMIR","BURGLARY",1345,1321,1526,1420,1397,1351,1460,1347,1566,1406,1516,1395
"JHARKHAND","BURGLARY",1266,1419,1468,1419,1610,1428,1495,1375,1392,1357,1235,1216
"KARNATAKA","BURGLARY",6394,6480,6055,6093,5986,5967,5449,6258,6629,6059,6136,5792
"KERALA","BURGLARY",4474,4624,4409,4580,4110,4245,4100,3882,3554,2682,3001,2710
"MADHYA PRADESH","BURGLARY",13549,13344,12884,12308,11192,10960,11230,11072,10661,9897,10230,10019
"MAHARASHTRA","BURGLARY",15073,14471,13892,14659,15615,15877,15607,16004,15841,16617,16313,15648
"MANIPUR","BURGLARY",75,44,68,66,62,55,70,76,68,66,52,53
"MEGHALAYA","BURGLARY",170,154,160,142,148,140,203,168,147,166,145,145
"MIZORAM","BURGLARY",417,446,487,250,442,422,457,338,381,425,336,347
"NAGALAND","BURGLARY",163,128,95,70,93,70,118,127,82,62,73,65
"ODISHA","BURGLARY",3093,2884,2961,2992,3029,3120,3073,3100,2937,2855,3031,3430
"PUNJAB","BURGLARY",1902,1928,2094,1766,1933,2277,2616,2621,2507,2661,2488,2828
"RAJASTHAN","BURGLARY",7284,6661,6072,5911,5227,5085,5164,4736,5294,4714,4510,4610
"SIKKIM","BURGLARY",76,66,48,64,85,84,83,81,93,72,60,65
"TAMIL NADU","BURGLARY",5965,5533,4849,4147,3738,3300,3717,3849,4221,4715,4848,4457
"TRIPURA","BURGLARY",198,192,167,166,170,182,193,218,231,221,227,239
"UTTAR PRADESH","BURGLARY",8411,6126,4016,5299,4556,4577,5057,5418,5260,4915,5765,6187
"UTTARAKHAND","BURGLARY",533,554,557,566,521,470,548,423,363,310,342,391
"WEST BENGAL","BURGLARY",426,348,342,547,739,601,399,462,329,388,455,464
"TOTAL (STATES)","BURGLARY",97536,93484,90455,90217,87593,89258,88720,91294,89862,88232,90583,90743
"A & N ISLANDS","BURGLARY",64,49,56,69,68,82,90,78,86,80,99,71
"CHANDIGARH","BURGLARY",364,336,204,186,223,189,191,257,241,236,285,235
"D & N HAVELI","BURGLARY",34,38,41,20,25,41,28,49,43,25,22,22
"DAMAN & DIU","BURGLARY",43,56,41,35,37,60,46,45,33,27,31,26
"DELHI","BURGLARY",3029,2360,1898,1875,2093,1950,2055,1926,1733,1502,1419,1715
"LAKSHADWEEP","BURGLARY",1,9,6,2,2,2,2,3,1,5,0,3
"PUDUCHERRY","BURGLARY",111,129,126,86,67,84,86,90,71,72,65,77
"TOTAL (UTs)","BURGLARY",3646,2977,2372,2273,2515,2408,2498,2448,2208,1947,1921,2149
"TOTAL (ALL-INDIA)","BURGLARY",101182,96461,92827,92490,90108,91666,91218,93742,92070,90179,92504,92892
"ANDHRA PRADESH","THEFT",16751,19222,23408,23578,23778,23510,24391,25362,24692,26756,28267,27475
"ARUNACHAL PRADESH","THEFT",443,395,370,388,531,451,513,445,381,445,414,402
"ASSAM","THEFT",5367,5555,5525,5866,6369,7820,7754,8012,7644,7860,8309,9394
"BIHAR","THEFT",9701,10145,10124,11113,10812,11752,11795,13206,15221,15544,16292,17667
"CHHATTISGARH","THEFT",4812,4302,4170,5014,5600,5262,5381,6079,5792,5805,5315,5341
"GOA","THEFT",576,496,464,503,495,494,494,601,858,1034,1115,915
"GUJARAT","THEFT",15834,15742,19304,18551,17964,18475,18164,20715,19669,16794,16043,15952
"HARYANA","THEFT",6117,5962,5591,6558,8694,10518,11047,12709,12917,16266,17425,17590
"HIMACHAL PRADESH","THEFT",600,564,627,643,696,812,1092,1152,823,838,1042,769
"JAMMU & KASHMIR","THEFT",1919,2020,1949,1939,1901,1937,2086,2198,2631,2510,2655,2022
"JHARKHAND","THEFT",3827,4374,4155,4374,6195,6173,7091,7269,7716,7090,6378,6680
"KARNATAKA","THEFT",12868,13818,14180,16093,17008,14901,14351,17820,20576,20093,19834,18418
"KERALA","THEFT",5441,5743,4891,5240,5454,5431,5609,5818,5564,4380,4704,4078
"MADHYA PRADESH","THEFT",20263,20759,20422,22586,20685,21733,22396,24583,23260,21577,22414,23182
"MAHARASHTRA","THEFT",39866,37606,37098,43952,46851,46473,47681,52860,50930,52565,53449,47476
"MANIPUR","THEFT",217,255,252,244,243,290,454,446,394,417,719,903
"MEGHALAYA","THEFT",271,392,360,418,476,470,500,669,545,664,696,543
"MIZORAM","THEFT",878,999,1303,610,777,758,808,747,761,823,734,605
"NAGALAND","THEFT",258,257,221,255,294,327,360,345,347,397,360,381
"ODISHA","THEFT",5622,5268,5359,5967,6743,6567,6830,7419,7136,7572,8724,9630
"PUNJAB","THEFT",3023,2963,3198,2587,2924,3946,5173,5563,5624,5446,4784,5272
"RAJASTHAN","THEFT",16939,16313,16456,18842,17898,17889,19345,20411,22144,22324,21099,23314
"SIKKIM","THEFT",74,64,65,73,81,113,118,127,62,53,72,117
"TAMIL NADU","THEFT",16709,18755,18213,17530,15851,13651,13217,15019,15712,14583,13924,11996
"TRIPURA","THEFT",259,270,276,260,325,392,411,499,415,457,494,565
"UTTAR PRADESH","THEFT",27011,22419,15751,22524,20695,20447,22816,25946,29226,31153,36683,37376
"UTTARAKHAND","THEFT",1419,1365,1368,1597,1630,1696,1593,1622,1601,2138,2093,1913
"WEST BENGAL","THEFT",14245,12449,12613,14465,12124,12532,13747,17334,17133,19389,21446,22991
"TOTAL (STATES)","THEFT",231310,228472,227713,251770,253094,254820,265217,294976,299774,304973,315484,312967
"A & N ISLANDS","THEFT",65,49,60,103,92,101,112,128,134,121,88,71
"CHANDIGARH","THEFT",1529,1647,1238,1459,1373,1234,1740,1991,1731,1481,1502,1549
"D & N HAVELI","THEFT",45,75,61,53,74,61,87,54,63,63,69,68
"DAMAN & DIU","THEFT",40,56,46,27,50,63,43,49,41,47,47,55
"DELHI","THEFT",19276,16625,15544,18994,17955,17498,17037,18867,21731,23088,22899,22032
"LAKSHADWEEP","THEFT",10,12,8,5,7,17,20,8,10,5,4,7
"PUDUCHERRY","THEFT",528,526,567,634,466,560,787,688,711,534,707,658
"TOTAL (UTs)","THEFT",21493,18990,17524,21275,20017,19534,19826,21785,24421,25339,25316,24440
"TOTAL (ALL-INDIA)","THEFT",252803,247462,245237,273045,273111,274354,285043,316761,324195,330312,340800,337407
"ANDHRA PRADESH","RIOTS",3001,2140,2328,2540,2026,2916,1998,1930,2261,2231,2210,1878
"ARUNACHAL PRADESH","RIOTS",24,21,7,65,23,6,16,18,52,31,49,28
"ASSAM","RIOTS",2953,3014,3340,3615,2760,2684,2601,2600,1808,2183,2328,5077
"BIHAR","RIOTS",8606,8675,8029,9793,7671,8259,7962,8099,8554,8809,9768,10871
"CHHATTISGARH","RIOTS",871,817,703,790,893,905,881,1144,957,1092,934,910
"GOA","RIOTS",64,79,47,33,45,63,70,102,50,64,74,122
"GUJARAT","RIOTS",1930,3665,1824,1599,1628,1534,1668,1809,1539,1623,1615,1758
"HARYANA","RIOTS",750,700,639,699,899,1142,1173,1184,1166,1414,1466,1424
"HIMACHAL PRADESH","RIOTS",628,646,610,562,558,566,649,627,591,615,530,494
"JAMMU & KASHMIR","RIOTS",1072,996,1167,1116,1222,1197,1209,1782,1472,2169,1405,1400
"JHARKHAND","RIOTS",2018,2281,2481,2281,2524,2650,2565,2576,2312,2447,2133,2331
"KARNATAKA","RIOTS",6686,6838,5784,6237,6151,6183,5783,6013,6269,7710,7265,7502
"KERALA","RIOTS",8108,8090,6798,6461,6535,6365,7358,8057,8086,8724,10754,10938
"MADHYA PRADESH","RIOTS",3395,3178,2729,2479,2573,2308,2648,2768,2409,2606,2080,1951
"MAHARASHTRA","RIOTS",6719,6360,5714,5980,6779,7453,7993,9388,8030,8412,8556,8860
"MANIPUR","RIOTS",131,64,73,115,35,60,70,48,48,65,70,72
"MEGHALAYA","RIOTS",8,9,5,2,42,7,33,8,18,7,8,0
"MIZORAM","RIOTS",3,1,3,2,35,0,1,1,1,0,0,1
"NAGALAND","RIOTS",2,5,8,6,8,7,15,4,4,2,1,3
"ODISHA","RIOTS",1426,1598,1408,1433,1515,1535,1983,2721,1718,1779,1556,2205
"PUNJAB","RIOTS",1,2,0,16,1,3,1,1,8,0,0,1
"RAJASTHAN","RIOTS",11214,7178,4052,3101,2290,1767,1626,1390,1145,986,751,573
"SIKKIM","RIOTS",3,15,10,76,19,12,15,17,39,4,25,22
"TAMIL NADU","RIOTS",5196,4252,3706,3433,2551,1838,2375,2811,2397,2664,3009,3136
"TRIPURA","RIOTS",138,180,274,148,148,154,142,197,178,163,175,128
"UTTAR PRADESH","RIOTS",7343,4878,2251,3915,3926,3774,4495,4381,4263,4186,5022,5676
"UTTARAKHAND","RIOTS",440,342,392,444,433,489,459,509,466,458,401,369
"WEST BENGAL","RIOTS",3095,2461,2596,2691,2635,2385,3727,5425,6700,6809,6019,6611
"TOTAL (STATES)","RIOTS",75825,68485,56978,59632,55925,56262,59516,65610,62541,67253,68204,74341
"A & N ISLANDS","RIOTS",13,11,19,9,4,10,17,16,11,11,11,8
"CHANDIGARH","RIOTS",91,78,46,43,43,44,79,85,66,65,66,49
"D & N HAVELI","RIOTS",4,5,17,17,18,8,39,24,53,44,20,11
"DAMAN & DIU","RIOTS",23,16,31,19,19,24,31,35,29,11,19,9
"DELHI","RIOTS",165,139,80,67,61,87,87,71,57,53,50,79
"LAKSHADWEEP","RIOTS",1,18,4,37,6,12,1,12,44,3,5,10
"PUDUCHERRY","RIOTS",100,193,159,147,159,194,145,165,141,131,125,126
"TOTAL (UTs)","RIOTS",397,460,356,339,310,379,399,408,401,318,296,292
"TOTAL (ALL-INDIA)","RIOTS",76222,68945,57334,59971,56235,56641,59915,66018,62942,67571,68500,74633
"ANDHRA PRADESH","CRIMINAL BREACH OF TRUST",788,1050,1099,898,948,1007,869,990,904,1130,1174,1271
"ARUNACHAL PRADESH","CRIMINAL BREACH OF TRUST",41,23,28,26,36,61,41,43,38,59,54,55
"ASSAM","CRIMINAL BREACH OF TRUST",374,558,611,586,487,461,653,680,802,992,920,1278
"BIHAR","CRIMINAL BREACH OF TRUST",946,1215,1105,1701,1181,1054,1326,1352,1186,1071,1741,1650
"CHHATTISGARH","CRIMINAL BREACH OF TRUST",154,96,76,101,110,137,150,169,166,196,180,170
"GOA","CRIMINAL BREACH OF TRUST",39,27,60,49,50,35,36,47,52,57,45,64
"GUJARAT","CRIMINAL BREACH OF TRUST",1748,1385,1873,1612,1370,1246,1139,1167,1256,1214,1339,1240
"HARYANA","CRIMINAL BREACH OF TRUST",556,579,586,534,562,750,726,763,827,919,812,740
"HIMACHAL PRADESH","CRIMINAL BREACH OF TRUST",69,75,63,97,82,137,132,137,117,110,143,137
"JAMMU & KASHMIR","CRIMINAL BREACH OF TRUST",90,91,116,105,117,123,121,87,132,150,195,163
"JHARKHAND","CRIMINAL BREACH OF TRUST",283,333,265,333,243,319,448,269,473,505,447,639
"KARNATAKA","CRIMINAL BREACH OF TRUST",494,485,495,423,434,471,400,424,461,464,440,401
"KERALA","CRIMINAL BREACH OF TRUST",428,357,323,336,361,299,394,435,354,343,340,301
"MADHYA PRADESH","CRIMINAL BREACH OF TRUST",481,507,549,548,613,519,531,570,575,507,557,576
"MAHARASHTRA","CRIMINAL BREACH OF TRUST",1542,1468,1561,1528,1720,1726,1715,1880,1895,1948,1883,1900
"MANIPUR","CRIMINAL BREACH OF TRUST",33,28,16,25,52,40,19,24,20,24,42,67
"MEGHALAYA","CRIMINAL BREACH OF TRUST",19,9,12,25,18,16,17,32,26,37,52,44
"MIZORAM","CRIMINAL BREACH OF TRUST",23,26,19,30,11,30,20,34,30,25,21,12
"NAGALAND","CRIMINAL BREACH OF TRUST",20,10,3,11,17,18,13,16,6,13,16,22
"ODISHA","CRIMINAL BREACH OF TRUST",285,246,254,271,301,313,319,342,258,322,250,317
"PUNJAB","CRIMINAL BREACH OF TRUST",368,373,343,313,306,281,329,236,234,243,281,289
"RAJASTHAN","CRIMINAL BREACH OF TRUST",1026,938,902,885,613,694,825,737,842,789,741,682
"SIKKIM","CRIMINAL BREACH OF TRUST",1,3,7,4,4,10,7,6,4,1,4,3
"TAMIL NADU","CRIMINAL BREACH OF TRUST",360,288,307,268,239,194,261,231,215,177,238,262
"TRIPURA","CRIMINAL BREACH OF TRUST",4,12,3,17,32,23,42,42,52,53,54,47
"UTTAR PRADESH","CRIMINAL BREACH OF TRUST",3430,2738,1746,2377,2524,2509,3639,4296,3917,3817,3721,3638
"UTTARAKHAND","CRIMINAL BREACH OF TRUST",171,145,138,157,144,95,163,171,156,167,115,137
"WEST BENGAL","CRIMINAL BREACH OF TRUST",486,451,378,425,528,519,672,876,918,1011,1264,1391
"TOTAL (STATES)","CRIMINAL BREACH OF TRUST",14259,13516,12938,13685,13103,13087,15007,16056,15916,16344,17069,17496
"A & N ISLANDS","CRIMINAL BREACH OF TRUST",10,4,3,0,8,3,7,12,7,10,3,5
"CHANDIGARH","CRIMINAL BREACH OF TRUST",26,35,32,23,41,59,38,37,38,23,25,34
"D & N HAVELI","CRIMINAL BREACH OF TRUST",13,12,8,12,12,30,17,10,17,12,10,10
"DAMAN & DIU","CRIMINAL BREACH OF TRUST",5,5,8,4,6,9,5,4,8,4,3,6
"DELHI","CRIMINAL BREACH OF TRUST",479,444,431,445,394,442,451,355,333,273,337,341
"LAKSHADWEEP","CRIMINAL BREACH OF TRUST",1,0,0,0,0,0,0,0,0,0,1,0
"PUDUCHERRY","CRIMINAL BREACH OF TRUST",5,11,12,7,8,6,6,13,7,12,9,9
"TOTAL (UTs)","CRIMINAL BREACH OF TRUST",539,511,494,491,469,549,524,431,410,334,388,405
"TOTAL (ALL-INDIA)","CRIMINAL BREACH OF TRUST",14798,14027,13432,14176,13572,13636,15531,16487,16326,16678,17457,17901
"ANDHRA PRADESH","CHEATING",5391,6733,7581,7928,7909,8363,8103,8393,8528,9164,9748,11002
"ARUNACHAL PRADESH","CHEATING",30,29,21,34,28,38,33,28,29,91,74,85
"ASSAM","CHEATING",575,719,894,865,873,905,895,996,1098,1371,1495,1705
"BIHAR","CHEATING",1659,1811,1947,2764,1829,2171,2358,2741,2676,3025,3776,3933
"CHHATTISGARH","CHEATING",402,393,412,424,431,507,467,562,682,813,980,925
"GOA","CHEATING",62,78,106,61,58,55,55,105,132,117,142,205
"GUJARAT","CHEATING",1779,1457,1975,1726,1541,1529,1116,1167,1014,1002,1399,1361
"HARYANA","CHEATING",1016,933,900,1089,1204,1424,1232,1150,1406,1662,1761,1798
"HIMACHAL PRADESH","CHEATING",146,137,130,174,163,129,212,248,264,318,359,373
"JAMMU & KASHMIR","CHEATING",391,382,408,414,403,463,489,392,475,422,612,612
"JHARKHAND","CHEATING",554,441,479,441,643,833,814,900,910,988,907,1566
"KARNATAKA","CHEATING",2678,2764,2752,2759,2909,2910,3600,3669,5079,5543,5850,5822
"KERALA","CHEATING",2756,2924,3061,3755,3261,3316,4215,3659,3394,3581,5155,4681
"MADHYA PRADESH","CHEATING",1413,1240,1222,1287,1292,1522,1661,1368,1830,1779,1860,2021
"MAHARASHTRA","CHEATING",4273,4145,5005,5167,6391,6234,6235,7296,7976,8684,9098,9398
"MANIPUR","CHEATING",66,72,76,142,122,82,93,161,96,59,126,136
"MEGHALAYA","CHEATING",29,33,34,44,39,83,164,104,113,98,166,108
"MIZORAM","CHEATING",71,85,60,20,58,78,66,57,61,79,66,42
"NAGALAND","CHEATING",34,21,11,28,41,37,34,31,33,39,31,39
"ODISHA","CHEATING",681,793,937,805,1040,1364,1263,1244,1137,1108,1391,1607
"PUNJAB","CHEATING",2621,2716,3123,2729,2934,3393,3581,3192,3098,3527,3571,3451
"RAJASTHAN","CHEATING",6644,7286,7225,8333,8341,10191,11919,12097,15037,16584,17497,19646
"SIKKIM","CHEATING",13,48,12,22,44,37,34,46,12,20,31,31
"TAMIL NADU","CHEATING",2139,2017,1904,2121,2694,2116,2510,2349,2557,3259,3872,4151
"TRIPURA","CHEATING",17,20,25,34,59,84,85,92,110,122,99,105
