"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CHANDIGARH","INSULT TO THE MODESTY OF WOMEN",15,28,4,18,9,13,11,2,2,4,12,25
"D & N HAVELI","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,1,0,0,1,2,0,0
"DAMAN & DIU","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,1,1,0,0,0
"DELHI","INSULT TO THE MODESTY OF WOMEN",90,128,105,130,225,144,167,130,118,80,162,208
"LAKSHADWEEP","INSULT TO THE MODESTY OF WOMEN",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","INSULT TO THE MODESTY OF WOMEN",27,26,27,30,26,39,32,21,16,22,16,2
"TOTAL (UTs)","INSULT TO THE MODESTY OF WOMEN",133,185,138,181,261,201,212,157,145,118,193,239
"TOTAL (ALL-INDIA)","INSULT TO THE MODESTY OF WOMEN",9746,10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173
"ANDHRA PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389
"ARUNACHAL PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",11,13,14,4,9,14,20,13,13,12,18,26
"ASSAM","CRUELTY BY HUSBAND OR HIS RELATIVES",1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407
"BIHAR","CRUELTY BY HUSBAND OR HIS RELATIVES",1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686
"CHHATTISGARH","CRUELTY BY HUSBAND OR HIS RELATIVES",840,653,601,741,732,717,824,897,893,861,834,980
"GOA","CRUELTY BY HUSBAND OR HIS RELATIVES",11,8,24,17,11,14,14,12,21,17,18,24
"GUJARAT","CRUELTY BY HUSBAND OR HIS RELATIVES",3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658
"HARYANA","CRUELTY BY HUSBAND OR HIS RELATIVES",1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137
"HIMACHAL PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",317,234,221,252,228,259,342,343,284,275,239,251
"JAMMU & KASHMIR","CRUELTY BY HUSBAND OR HIS RELATIVES",50,54,71,82,76,135,176,162,196,211,286,301
"JHARKHAND","CRUELTY BY HUSBAND OR HIS RELATIVES",484,588,559,588,590,668,801,851,710,650,659,1261
"KARNATAKA","CRUELTY BY HUSBAND OR HIS RELATIVES",1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684
"KERALA","CRUELTY BY HUSBAND OR HIS RELATIVES",2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216
"MADHYA PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988
"MAHARASHTRA","CRUELTY BY HUSBAND OR HIS RELATIVES",6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415
"MANIPUR","CRUELTY BY HUSBAND OR HIS RELATIVES",5,10,4,2,20,10,15,28,25,18,39,43
"MEGHALAYA","CRUELTY BY HUSBAND OR HIS RELATIVES",4,0,4,5,3,13,19,32,24,24,21,16
"MIZORAM","CRUELTY BY HUSBAND OR HIS RELATIVES",16,3,3,0,0,1,2,5,4,3,9,8
"NAGALAND","CRUELTY BY HUSBAND OR HIS RELATIVES",0,0,0,0,0,3,0,4,0,1,1,0
"ODISHA","CRUELTY BY HUSBAND OR HIS RELATIVES",1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638
"PUNJAB","CRUELTY BY HUSBAND OR HIS RELATIVES",1128,944,987,801,729,801,971,984,1061,1163,1136,1293
"RAJASTHAN","CRUELTY BY HUSBAND OR HIS RELATIVES",5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312
"SIKKIM","CRUELTY BY HUSBAND OR HIS RELATIVES",0,3,1,1,4,6,7,5,6,3,4,4
"TAMIL NADU","CRUELTY BY HUSBAND OR HIS RELATIVES",815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965
"TRIPURA","CRUELTY BY HUSBAND OR HIS RELATIVES",227,236,247,302,439,471,545,735,815,937,702,858
"UTTAR PRADESH","CRUELTY BY HUSBAND OR HIS RELATIVES",7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661
"UTTARAKHAND","CRUELTY BY HUSBAND OR HIS RELATIVES",301,316,317,405,272,358,463,340,361,334,307,368
"WEST BENGAL","CRUELTY BY HUSBAND OR HIS RELATIVES",3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865
"TOTAL (STATES)","CRUELTY BY HUSBAND OR HIS RELATIVES",48976,49027,49385,56779,56901,61264,73988,79860,88175,92574,97494,104454
"A & N ISLANDS","CRUELTY BY HUSBAND OR HIS RELATIVES",9,4,7,5,5,7,18,26,21,9,5,5
"CHANDIGARH","CRUELTY BY HUSBAND OR HIS RELATIVES",36,56,93,73,75,102,112,49,51,41,46,73
"D & N HAVELI","CRUELTY BY HUSBAND OR HIS RELATIVES",4,3,2,3,5,5,3,4,3,3,3,0
"DAMAN & DIU","CRUELTY BY HUSBAND OR HIS RELATIVES",4,3,0,4,3,2,3,5,3,3,2,3
"DELHI","CRUELTY BY HUSBAND OR HIS RELATIVES",138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985
"LAKSHADWEEP","CRUELTY BY HUSBAND OR HIS RELATIVES",0,0,1,1,0,1,2,1,0,0,0,1
"PUDUCHERRY","CRUELTY BY HUSBAND OR HIS RELATIVES",3,9,4,2,6,19,17,12,10,7,10,6
"TOTAL (UTs)","CRUELTY BY HUSBAND OR HIS RELATIVES",194,210,1318,1342,1418,1864,1942,1484,1371,1467,1641,2073
"TOTAL (ALL-INDIA)","CRUELTY BY HUSBAND OR HIS RELATIVES",49170,49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527
"ANDHRA PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",7,0,5,2,3,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,3,0,0,0,1,0,2,2
"BIHAR","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",83,38,37,35,74,42,56,22,31,8,10,4
"CHHATTISGARH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,1,0,0,0,2,2,0
"GOA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"HARYANA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"HIMACHAL PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",2,36,0,36,4,5,0,39,6,8,6,3
"KARNATAKA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,1,2,0,12,32
"KERALA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"MADHYA PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,3,0,0,0,1,5,45,6
"MAHARASHTRA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",1,0,0,0,0,1,0,0,0,0,0,0
"MANIPUR","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,1,0,3,0
"MIZORAM","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",3,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,1,0,0,0,0,0,0,0,0,0
"ODISHA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,12,0,0,1,5,0,0
"PUNJAB","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,2,0,0,0,0,0,0
"RAJASTHAN","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",1,0,1,1,0,3,0,0,0,0,0,0
"SIKKIM","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",14,0,1,0,0,0,0,0,0,0,0,0
"TRIPURA","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"UTTAR PRADESH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,3,0,0,0,0,0,0,0,0
"UTTARAKHAND","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,1,0,0,0,0,0,0,0,0,0,0
"WEST BENGAL","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",3,1,1,12,61,1,5,5,5,8,0,12
"TOTAL (STATES)","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",114,76,46,89,148,67,61,67,48,36,80,59
"A & N ISLANDS","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,1,0,0,0,0,0,0,0
"LAKSHADWEEP","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (UTs)","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",0,0,0,0,1,0,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","IMPORTATION OF GIRLS FROM FOREIGN COUNTRY",114,76,46,89,149,67,61,67,48,36,80,59
"ANDHRA PRADESH","CAUSING DEATH BY NEGLIGENCE",7400,8691,8515,11452,9973,11489,12629,12861,13438,14085,13973,13929
"ARUNACHAL PRADESH","CAUSING DEATH BY NEGLIGENCE",0,0,0,0,69,82,82,104,110,106,98,94
"ASSAM","CAUSING DEATH BY NEGLIGENCE",2010,1957,2086,2239,2695,3022,2875,2259,2735,2847,2915,2565
"BIHAR","CAUSING DEATH BY NEGLIGENCE",2406,2497,2574,2405,2680,2860,3789,4592,4516,5615,5877,4631
"CHHATTISGARH","CAUSING DEATH BY NEGLIGENCE",689,963,1158,1717,2004,2239,2476,2800,2735,2907,2856,2888
"GOA","CAUSING DEATH BY NEGLIGENCE",191,202,164,216,209,233,247,230,220,256,263,233
"GUJARAT","CAUSING DEATH BY NEGLIGENCE",2924,3258,3536,3958,4120,4339,4831,4934,5178,5907,5827,5573
"HARYANA","CAUSING DEATH BY NEGLIGENCE",856,955,971,981,1083,1350,1545,1323,1549,1595,1505,1484
"HIMACHAL PRADESH","CAUSING DEATH BY NEGLIGENCE",483,482,463,469,480,499,597,485,616,610,563,562
"JAMMU & KASHMIR","CAUSING DEATH BY NEGLIGENCE",357,380,378,422,462,222,243,293,517,494,385,371
"JHARKHAND","CAUSING DEATH BY NEGLIGENCE",420,416,642,416,1490,1154,1019,1310,1678,1745,1728,1594
"KARNATAKA","CAUSING DEATH BY NEGLIGENCE",100,152,172,277,243,534,514,572,417,471,750,876
"KERALA","CAUSING DEATH BY NEGLIGENCE",0,32,35,42,34,49,59,37,41,47,65,48
"MADHYA PRADESH","CAUSING DEATH BY NEGLIGENCE",3297,3679,3778,4209,4593,4823,5754,6008,6591,7038,7478,7721
"MAHARASHTRA","CAUSING DEATH BY NEGLIGENCE",8993,9407,9378,9574,9608,10933,11946,12472,12459,13508,13024,13311
"MANIPUR","CAUSING DEATH BY NEGLIGENCE",7,25,4,35,5,3,1,2,0,1,2,2
"MEGHALAYA","CAUSING DEATH BY NEGLIGENCE",0,12,41,51,61,68,68,64,72,53,90,102
"MIZORAM","CAUSING DEATH BY NEGLIGENCE",23,13,11,0,4,26,34,53,36,44,37,34
"NAGALAND","CAUSING DEATH BY NEGLIGENCE",19,24,41,34,37,28,43,44,34,22,15,31
"ODISHA","CAUSING DEATH BY NEGLIGENCE",1589,2672,2497,2652,3034,2945,3771,3535,2979,3450,3778,3605
"PUNJAB","CAUSING DEATH BY NEGLIGENCE",2154,2310,2226,2181,2283,2919,2801,2845,3289,3350,3576,3405
"RAJASTHAN","CAUSING DEATH BY NEGLIGENCE",4221,4670,5074,5579,5872,6234,7096,7322,7898,7978,8122,8284
"SIKKIM","CAUSING DEATH BY NEGLIGENCE",7,7,18,29,53,39,34,40,59,47,57,32
"TAMIL NADU","CAUSING DEATH BY NEGLIGENCE",8550,10125,9112,9152,8902,10792,11485,12328,13528,14644,16076,15499
"TRIPURA","CAUSING DEATH BY NEGLIGENCE",31,46,109,85,188,199,203,195,225,237,14,10
"UTTAR PRADESH","CAUSING DEATH BY NEGLIGENCE",7129,7313,4428,7136,7406,7235,7655,10102,12159,14472,14380,14406
"UTTARAKHAND","CAUSING DEATH BY NEGLIGENCE",441,440,362,464,462,524,608,590,685,738,696,670
"WEST BENGAL","CAUSING DEATH BY NEGLIGENCE",2281,2703,2300,2995,2737,3039,3803,3789,3623,2847,3249,4385
"TOTAL (STATES)","CAUSING DEATH BY NEGLIGENCE",56578,63431,60073,68770,70787,77879,86208,91189,97387,105114,107399,106345
"A & N ISLANDS","CAUSING DEATH BY NEGLIGENCE",0,0,0,6,3,2,4,4,2,9,6,6
"CHANDIGARH","CAUSING DEATH BY NEGLIGENCE",6,7,8,5,9,14,15,11,7,6,7,3
"D & N HAVELI","CAUSING DEATH BY NEGLIGENCE",0,0,1,8,17,16,12,10,17,20,24,23
"DAMAN & DIU","CAUSING DEATH BY NEGLIGENCE",0,0,6,25,24,26,32,39,40,38,43,38
"DELHI","CAUSING DEATH BY NEGLIGENCE",432,416,402,433,634,367,252,726,846,914,1168,913
"LAKSHADWEEP","CAUSING DEATH BY NEGLIGENCE",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","CAUSING DEATH BY NEGLIGENCE",166,190,182,176,224,209,267,207,233,242,243,263
"TOTAL (UTs)","CAUSING DEATH BY NEGLIGENCE",604,613,599,653,911,634,582,997,1145,1229,1491,1246
"TOTAL (ALL-INDIA)","CAUSING DEATH BY NEGLIGENCE",57182,64044,60672,69423,71698,78513,86790,92186,98532,106343,108890,107591
"ANDHRA PRADESH","OTHER IPC CRIMES",34344,36385,39242,36460,37707,43722,43586,43929,48087,41373,38392,39025
"ARUNACHAL PRADESH","OTHER IPC CRIMES",618,684,585,717,562,565,555,590,619,622,622,657
"ASSAM","OTHER IPC CRIMES",9315,8575,9227,10040,11299,10444,12183,17598,17973,22110,25513,27077
"BIHAR","OTHER IPC CRIMES",36667,39145,37503,44178,40057,39941,44931,54370,54165,56508,55705,35421
"CHHATTISGARH","OTHER IPC CRIMES",15790,17576,19315,20143,20959,19246,19505,21074,20546,23091,25223,23387
"GOA","OTHER IPC CRIMES",697,780,739,646,641,698,934,886,884,927,1001,1115
"GUJARAT","OTHER IPC CRIMES",50719,50612,46879,49897,60882,66802,68332,65525,60758,63788,69788,75702
"HARYANA","OTHER IPC CRIMES",15906,16854,16654,16109,15879,19014,19159,21460,21804,20060,20549,21396
"HIMACHAL PRADESH","OTHER IPC CRIMES",6052,6921,6937,7015,7165,7760,7937,7837,7555,7020,8102,6877
"JAMMU & KASHMIR","OTHER IPC CRIMES",9046,9390,10424,10677,10040,10886,11535,10734,11059,11869,13257,14004
"JHARKHAND","OTHER IPC CRIMES",8777,12969,12902,12969,12550,13667,13897,14843,11430,13477,11940,14818
"KARNATAKA","OTHER IPC CRIMES",47301,50508,52143,52518,54239,56815,60853,61755,61108,65123,60505,58468
"KERALA","OTHER IPC CRIMES",54544,55094,53487,54106,57530,56777,57681,59061,68688,98668,112665,101582
"MADHYA PRADESH","OTHER IPC CRIMES",85143,94923,97751,96911,91951,95959,98007,100513,101367,107390,112082,114585
"MAHARASHTRA","OTHER IPC CRIMES",42963,42643,42491,44420,47386,49834,50159,50183,48460,49739,45114,46668
"MANIPUR","OTHER IPC CRIMES",1097,1074,1120,999,1234,1207,1074,1038,861,932,1015,1086
"MEGHALAYA","OTHER IPC CRIMES",511,419,355,439,381,438,438,480,680,666,701,761
"MIZORAM","OTHER IPC CRIMES",499,864,1132,320,558,454,330,378,407,355,279,336
"NAGALAND","OTHER IPC CRIMES",363,292,234,239,252,201,242,192,235,242,292,266
"ODISHA","OTHER IPC CRIMES",20810,20755,20602,21058,20182,21375,19870,18916,20560,19366,20509,22203
"PUNJAB","OTHER IPC CRIMES",9204,9713,9316,7637,8438,9524,10517,10122,10080,10896,10175,10405
"RAJASTHAN","OTHER IPC CRIMES",62347,63787,62592,67767,61549,61379,63846,63924,70089,67221,70250,70240
"SIKKIM","OTHER IPC CRIMES",166,170,157,196,67,214,192,215,225,200,177,58
"TAMIL NADU","OTHER IPC CRIMES",76468,88680,77784,88439,86494,94131,110748,107084,106215,110733,115163,124176
"TRIPURA","OTHER IPC CRIMES",855,849,940,868,811,1091,1241,1327,1324,1356,1640,1742
"UTTAR PRADESH","OTHER IPC CRIMES",57839,48569,29449,40711,37158,41536,51914,60242,60918,61500,68575,68538
"UTTARAKHAND","OTHER IPC CRIMES",2227,2295,2353,2319,2078,1935,2686,2280,1868,2101,2078,2118
"WEST BENGAL","OTHER IPC CRIMES",25260,25189,24553,27426,25444,23274,27903,38177,38776,49096,56614,64482
"TOTAL (STATES)","OTHER IPC CRIMES",675528,705715,676866,715224,713493,748889,800255,834733,846741,906429,947926,947193
"A & N ISLANDS","OTHER IPC CRIMES",323,328,318,387,362,322,337,383,451,489,392,351
"CHANDIGARH","OTHER IPC CRIMES",914,1111,779,720,969,983,999,1040,976,1036,1036,1042
"D & N HAVELI","OTHER IPC CRIMES",183,142,129,193,195,172,161,154,151,133,134,112
"DAMAN & DIU","OTHER IPC CRIMES",73,78,84,51,58,48,37,36,78,37,35,46
"DELHI","OTHER IPC CRIMES",22000,20876,20045,22048,24299,26805,24854,17896,14808,14055,14363,15408
"LAKSHADWEEP","OTHER IPC CRIMES",17,5,6,18,22,37,26,53,58,26,27,32
"PUDUCHERRY","OTHER IPC CRIMES",2324,2042,2185,2390,2579,2441,2537,2668,2278,1867,2119,2060
"TOTAL (UTs)","OTHER IPC CRIMES",25834,24582,23546,25807,28484,30808,28951,22230,18800,17643,18106,19051
"TOTAL (ALL-INDIA)","OTHER IPC CRIMES",701362,730297,700412,741031,741977,779697,829206,856963,865541,924072,966032,966244
"ANDHRA PRADESH","TOTAL IPC CRIMES",130089,143610,156951,158756,157123,173909,175087,179275,180441,181438,189780,192522
"ARUNACHAL PRADESH","TOTAL IPC CRIMES",2342,2228,2061,2256,2304,2294,2286,2374,2362,2439,2286,2420
"ASSAM","TOTAL IPC CRIMES",36877,36346,38195,40675,42006,43673,45282,53333,55313,61668,66714,77682
"BIHAR","TOTAL IPC CRIMES",88432,94040,92263,108060,97850,100665,109420,122669,122931,127453,135896,146614
"CHHATTISGARH","TOTAL IPC CRIMES",38460,37950,38449,41927,43633,45177,45845,51442,51370,54958,57218,54598
"GOA","TOTAL IPC CRIMES",2341,2440,2244,2127,2119,2204,2479,2742,3005,3293,3449,3608
"GUJARAT","TOTAL IPC CRIMES",103419,106675,103709,105469,113414,120972,123195,123808,115183,116439,123371,130121
"HARYANA","TOTAL IPC CRIMES",38759,40152,38612,39096,42664,50509,51597,55344,56229,59120,60741,62480
"HIMACHAL PRADESH","TOTAL IPC CRIMES",11499,12243,12011,12326,12345,13093,14222,13976,13315,13049,14312,12557
"JAMMU & KASHMIR","TOTAL IPC CRIMES",19505,19967,21233,21191,20115,20787,21443,20604,21975,23223,24504,24608
"JHARKHAND","TOTAL IPC CRIMES",25447,31439,32203,31439,35175,36364,38489,38686,37436,38889,35838,40946
"KARNATAKA","TOTAL IPC CRIMES",109098,113699,112405,114440,117580,117710,120606,127540,134042,142322,137600,134021
"KERALA","TOTAL IPC CRIMES",103847,104200,98824,104025,104350,105255,108530,110620,118369,148313,172137,158989
"MADHYA PRADESH","TOTAL IPC CRIMES",181741,191799,191078,196867,189172,194711,202386,206556,207762,214269,217094,220335
"MAHARASHTRA","TOTAL IPC CRIMES",171233,165462,164306,176302,187027,191788,195707,206243,199598,208168,204902,202700
"MANIPUR","TOTAL IPC CRIMES",2489,2584,2537,2535,2913,2884,3259,3349,2852,2715,3218,3737
"MEGHALAYA","TOTAL IPC CRIMES",1687,1664,1669,1757,1880,1935,2079,2318,2448,2505,2755,2557
"MIZORAM","TOTAL IPC CRIMES",2246,2820,3456,1515,2156,2073,2083,1989,2047,2174,1821,1766
"NAGALAND","TOTAL IPC CRIMES",1234,1114,976,984,1049,1103,1180,1202,1059,1059,1083,1090
"ODISHA","TOTAL IPC CRIMES",46661,47728,47281,48739,51685,52792,54872,56755,55740,56459,61277,67957
"PUNJAB","TOTAL IPC CRIMES",27774,28794,28756,25630,27136,32068,35793,35314,35545,36648,34883,35790
"RAJASTHAN","TOTAL IPC CRIMES",155185,151248,145579,154859,140917,141992,148870,151174,166565,162957,165622,170948
"SIKKIM","TOTAL IPC CRIMES",444,485,443,631,552,703,667,730,669,552,596,528
"TAMIL NADU","TOTAL IPC CRIMES",154801,166942,157186,166606,162360,148972,172754,176833,174691,185678,192879,200474
"TRIPURA","TOTAL IPC CRIMES",2801,3075,3514,3081,3356,3940,4273,5336,5486,5805,5803,6264
"UTTAR PRADESH","TOTAL IPC CRIMES",178129,146037,95073,130181,122108,127001,150258,168996,172884,174179,195135,198093
"UTTARAKHAND","TOTAL IPC CRIMES",8073,7976,7923,8634,8033,8412,9599,8856,8802,9240,8774,8882
"WEST BENGAL","TOTAL IPC CRIMES",61563,58962,61174,69350,66406,68052,81102,105419,113036,129616,143197,161427
"TOTAL (STATES)","TOTAL IPC CRIMES",1706176,1721679,1660111,1769458,1757428,1811038,1923363,2033483,2061155,2164628,2262885,2323714
"A & N ISLANDS","TOTAL IPC CRIMES",658,608,644,748,682,676,807,882,941,980,793,683
"CHANDIGARH","TOTAL IPC CRIMES",3397,3806,2806,2889,3133,3126,3643,3931,3555,3373,3542,3606
"D & N HAVELI","TOTAL IPC CRIMES",350,349,338,409,434,435,425,401,442,378,372,318
"DAMAN & DIU","TOTAL IPC CRIMES",239,261,269,198,243,288,260,248,276,203,224,239
"DELHI","TOTAL IPC CRIMES",54384,49137,47404,53623,56065,57963,56065,49350,50251,51292,53353,54287
"LAKSHADWEEP","TOTAL IPC CRIMES",36,53,31,70,42,80,56,95,134,42,44,60
"PUDUCHERRY","TOTAL IPC CRIMES",4068,4437,4517,4620,4575,4687,5054,4989,4591,3935,4362,4281
"TOTAL (UTs)","TOTAL IPC CRIMES",63132,58651,56009,62557,65174,67255,66310,59896,60190,60203,62690,63474
"TOTAL (ALL-INDIA)","TOTAL IPC CRIMES",1769308,1780330,1716120,1832015,1822602,1878293,1989673,2093379,2121345,2224831,2325575,2387188
